order_id,order_date,customer_id,product_id,product_category,quantity,unit_price,discount,payment_method,order_status,gross_amount,discount_amount,net_amount
ORD-00001,2026-03-23 03:01:00,CUST-0190,P005,Office Supplies,2,3542.36,0.15,Credit Card,Cancelled,7084.72,1062.71,6022.01
ORD-00002,2026-01-12 18:27:00,CUST-0009,P001,Laptop Accessories,1,3474.91,0.1,Bank Transfer,Completed,3474.91,347.49,3127.42
ORD-00003,2026-03-13 06:45:00,CUST-0167,P007,Audio,2,6875.83,0.0,Credit Card,Completed,13751.66,0.0,13751.66
ORD-00004,2026-03-31 13:21:00,CUST-0072,P003,Home Appliances,2,14368.89,0.0,Credit Card,Completed,28737.78,0.0,28737.78
ORD-00005,2026-02-18 03:22:00,CUST-0217,P006,Smart Devices,5,4151.68,0.0,Maya,Cancelled,20758.4,0.0,20758.4
ORD-00006,2026-01-16 12:05:00,CUST-0142,P005,Office Supplies,5,13310.41,0.0,Bank Transfer,Completed,66552.05,0.0,66552.05
ORD-00007,2026-01-09 01:42:00,CUST-0059,P005,Office Supplies,1,12865.94,0.0,Maya,Completed,12865.94,0.0,12865.94
ORD-00008,2026-02-28 20:53:00,CUST-0094,P003,Home Appliances,3,5490.24,0.15,GCash,Completed,16470.72,2470.61,14000.11
ORD-00009,2026-03-19 20:10:00,CUST-0137,P004,Gaming,2,7068.34,0.0,Bank Transfer,Completed,14136.68,0.0,14136.68
ORD-00010,2026-03-29 10:53:00,CUST-0197,P001,Laptop Accessories,2,12371.59,0.0,Maya,Completed,24743.18,0.0,24743.18
ORD-00011,2026-01-09 06:58:00,CUST-0242,P006,Smart Devices,2,9917.72,0.05,Maya,Completed,19835.44,991.77,18843.67
ORD-00012,2026-02-03 04:15:00,CUST-0191,P005,Office Supplies,5,6569.4,0.1,Maya,Completed,32847.0,3284.7,29562.3
ORD-00013,2026-01-29 04:32:00,CUST-0127,P002,Mobile Accessories,1,12951.27,0.0,Debit Card,Pending,12951.27,0.0,12951.27
ORD-00014,2026-03-18 02:24:00,CUST-0098,P008,Wearables,5,3958.36,0.1,Credit Card,Completed,19791.8,1979.18,17812.62
ORD-00015,2026-03-29 17:48:00,CUST-0069,P006,Smart Devices,1,4579.13,0.0,Maya,Completed,4579.13,0.0,4579.13
ORD-00016,2026-02-03 16:48:00,CUST-0046,P002,Mobile Accessories,3,12664.62,0.1,Bank Transfer,Completed,37993.86,3799.39,34194.47
ORD-00017,2026-01-20 11:48:00,CUST-0042,P001,Laptop Accessories,5,5031.3,0.0,Credit Card,Completed,25156.5,0.0,25156.5
ORD-00018,2026-02-09 07:03:00,CUST-0062,P002,Mobile Accessories,1,11045.64,0.0,Bank Transfer,Completed,11045.64,0.0,11045.64
ORD-00019,2026-01-17 21:30:00,CUST-0243,P003,Home Appliances,3,8033.19,0.1,Maya,Completed,24099.57,2409.96,21689.61
ORD-00020,2026-03-11 23:44:00,CUST-0052,P005,Office Supplies,4,14928.45,0.15,GCash,Pending,59713.8,8957.07,50756.73
ORD-00021,2026-03-08 14:07:00,CUST-0064,P004,Gaming,1,5236.76,0.1,Bank Transfer,Completed,5236.76,523.68,4713.08
ORD-00022,2026-03-17 07:00:00,CUST-0019,P001,Laptop Accessories,2,1244.15,0.0,GCash,Completed,2488.3,0.0,2488.3
ORD-00023,2026-03-07 07:17:00,CUST-0172,P008,Wearables,2,8203.7,0.15,Bank Transfer,Cancelled,16407.4,2461.11,13946.29
ORD-00024,2026-03-02 07:50:00,CUST-0122,P007,Audio,2,1641.31,0.15,Maya,Completed,3282.62,492.39,2790.23
ORD-00025,2026-02-24 13:29:00,CUST-0222,P001,Laptop Accessories,1,1144.04,0.15,GCash,Completed,1144.04,171.61,972.43
ORD-00026,2026-02-01 06:12:00,CUST-0138,P008,Wearables,2,6472.75,0.0,Maya,Completed,12945.5,0.0,12945.5
ORD-00027,2026-01-10 14:51:00,CUST-0221,P002,Mobile Accessories,1,9869.14,0.1,Credit Card,Completed,9869.14,986.91,8882.23
ORD-00028,2026-01-31 05:26:00,CUST-0125,P008,Wearables,2,13003.59,0.0,Debit Card,Pending,26007.18,0.0,26007.18
ORD-00029,2026-01-01 12:16:00,CUST-0238,P008,Wearables,3,6489.36,0.15,Bank Transfer,Pending,19468.08,2920.21,16547.87
ORD-00030,2026-01-20 06:18:00,CUST-0056,P001,Laptop Accessories,5,11102.12,0.0,GCash,Completed,55510.6,0.0,55510.6
ORD-00031,2026-01-07 18:30:00,CUST-0129,P003,Home Appliances,1,14421.49,0.0,Debit Card,Completed,14421.49,0.0,14421.49
ORD-00032,2026-03-18 02:43:00,CUST-0221,P004,Gaming,4,2018.33,0.1,Debit Card,Cancelled,8073.32,807.33,7265.99
ORD-00033,2026-03-18 01:39:00,CUST-0021,P007,Audio,5,8587.1,0.0,GCash,Completed,42935.5,0.0,42935.5
ORD-00034,2026-03-27 22:20:00,CUST-0062,P005,Office Supplies,4,2180.45,0.15,GCash,Pending,8721.8,1308.27,7413.53
ORD-00035,2026-02-10 02:00:00,CUST-0118,P002,Mobile Accessories,1,8180.11,0.1,GCash,Completed,8180.11,818.01,7362.1
ORD-00036,2026-02-14 02:56:00,CUST-0063,P006,Smart Devices,3,2576.77,0.1,GCash,Cancelled,7730.31,773.03,6957.28
ORD-00037,2026-03-25 16:00:00,CUST-0171,P005,Office Supplies,1,14099.22,0.0,GCash,Completed,14099.22,0.0,14099.22
ORD-00038,2026-01-14 23:35:00,CUST-0040,P005,Office Supplies,3,9171.24,0.15,GCash,Completed,27513.72,4127.06,23386.66
ORD-00039,2026-03-29 20:54:00,CUST-0068,P008,Wearables,3,13603.71,0.0,Credit Card,Pending,40811.13,0.0,40811.13
ORD-00040,2026-02-05 01:00:00,CUST-0086,P003,Home Appliances,3,2633.33,0.05,Bank Transfer,Pending,7899.99,395.0,7504.99
ORD-00041,2026-03-13 00:07:00,CUST-0020,P003,Home Appliances,5,781.42,0.0,Bank Transfer,Cancelled,3907.1,0.0,3907.1
ORD-00042,2026-01-19 13:08:00,CUST-0011,P005,Office Supplies,3,13509.98,0.0,GCash,Completed,40529.94,0.0,40529.94
ORD-00043,2026-03-29 07:42:00,CUST-0027,P006,Smart Devices,5,13290.99,0.05,Bank Transfer,Completed,66454.95,3322.75,63132.2
ORD-00044,2026-01-31 05:51:00,CUST-0208,P003,Home Appliances,4,615.6,0.15,GCash,Pending,2462.4,369.36,2093.04
ORD-00045,2026-03-27 23:51:00,CUST-0064,P005,Office Supplies,2,11863.77,0.0,Maya,Completed,23727.54,0.0,23727.54
ORD-00046,2026-03-02 07:12:00,CUST-0210,P008,Wearables,3,4751.57,0.0,Debit Card,Completed,14254.71,0.0,14254.71
ORD-00047,2026-03-26 06:25:00,CUST-0085,P005,Office Supplies,1,14511.61,0.0,GCash,Cancelled,14511.61,0.0,14511.61
ORD-00048,2026-02-21 21:53:00,CUST-0138,P006,Smart Devices,1,1951.29,0.0,Debit Card,Cancelled,1951.29,0.0,1951.29
ORD-00049,2026-02-03 01:06:00,CUST-0153,P007,Audio,3,10996.04,0.0,Maya,Cancelled,32988.12,0.0,32988.12
ORD-00050,2026-03-07 03:24:00,CUST-0231,P004,Gaming,3,904.7,0.05,Credit Card,Cancelled,2714.1,135.71,2578.39
ORD-00051,2026-03-10 21:46:00,CUST-0241,P004,Gaming,3,6611.64,0.15,GCash,Cancelled,19834.92,2975.24,16859.68
ORD-00052,2026-02-10 21:54:00,CUST-0032,P005,Office Supplies,5,4811.95,0.05,GCash,Pending,24059.75,1202.99,22856.76
ORD-00053,2026-03-31 09:35:00,CUST-0033,P004,Gaming,4,10057.71,0.05,Debit Card,Cancelled,40230.84,2011.54,38219.3
ORD-00054,2026-03-14 09:25:00,CUST-0141,P001,Laptop Accessories,3,4481.98,0.05,Bank Transfer,Cancelled,13445.94,672.3,12773.64
ORD-00055,2026-03-25 10:29:00,CUST-0114,P008,Wearables,2,7789.82,0.15,Debit Card,Completed,15579.64,2336.95,13242.69
ORD-00056,2026-02-06 16:42:00,CUST-0163,P006,Smart Devices,1,12321.75,0.0,GCash,Completed,12321.75,0.0,12321.75
ORD-00057,2026-01-26 04:01:00,CUST-0012,P004,Gaming,4,9266.29,0.0,Maya,Pending,37065.16,0.0,37065.16
ORD-00058,2026-03-22 18:12:00,CUST-0184,P007,Audio,4,6144.88,0.0,Credit Card,Completed,24579.52,0.0,24579.52
ORD-00059,2026-02-24 07:11:00,CUST-0206,P008,Wearables,1,8471.74,0.0,Maya,Completed,8471.74,0.0,8471.74
ORD-00060,2026-03-01 21:33:00,CUST-0144,P006,Smart Devices,4,9286.62,0.15,Bank Transfer,Pending,37146.48,5571.97,31574.51
ORD-00061,2026-03-12 14:57:00,CUST-0041,P008,Wearables,4,4073.08,0.0,GCash,Cancelled,16292.32,0.0,16292.32
ORD-00062,2026-03-04 20:15:00,CUST-0071,P008,Wearables,1,10774.79,0.0,GCash,Completed,10774.79,0.0,10774.79
ORD-00063,2026-02-10 17:05:00,CUST-0036,P003,Home Appliances,2,5899.77,0.0,Debit Card,Completed,11799.54,0.0,11799.54
ORD-00064,2026-02-23 13:21:00,CUST-0139,P008,Wearables,4,1168.42,0.05,Maya,Cancelled,4673.68,233.68,4440.0
ORD-00065,2026-03-31 00:54:00,CUST-0226,P007,Audio,4,336.97,0.0,GCash,Pending,1347.88,0.0,1347.88
ORD-00066,2026-02-23 17:47:00,CUST-0189,P004,Gaming,4,3486.47,0.05,Maya,Completed,13945.88,697.29,13248.59
ORD-00067,2026-02-19 10:42:00,CUST-0174,P007,Audio,2,12647.46,0.0,Bank Transfer,Cancelled,25294.92,0.0,25294.92
ORD-00068,2026-01-04 12:37:00,CUST-0145,P001,Laptop Accessories,1,9730.56,0.0,Maya,Completed,9730.56,0.0,9730.56
ORD-00069,2026-01-07 08:24:00,CUST-0084,P004,Gaming,4,5070.98,0.05,GCash,Pending,20283.92,1014.2,19269.72
ORD-00070,2026-02-02 02:30:00,CUST-0005,P001,Laptop Accessories,3,3557.28,0.0,Credit Card,Completed,10671.84,0.0,10671.84
ORD-00071,2026-02-01 06:53:00,CUST-0006,P003,Home Appliances,2,2111.76,0.15,Credit Card,Cancelled,4223.52,633.53,3589.99
ORD-00072,2026-01-28 14:44:00,CUST-0066,P006,Smart Devices,2,9186.92,0.15,Credit Card,Completed,18373.84,2756.08,15617.76
ORD-00073,2026-02-09 03:37:00,CUST-0007,P005,Office Supplies,5,10240.87,0.05,Maya,Completed,51204.35,2560.22,48644.13
ORD-00074,2026-01-10 18:44:00,CUST-0213,P004,Gaming,1,10533.6,0.0,Bank Transfer,Completed,10533.6,0.0,10533.6
ORD-00075,2026-03-14 01:22:00,CUST-0137,P007,Audio,3,1267.11,0.15,GCash,Completed,3801.33,570.2,3231.13
ORD-00076,2026-02-23 15:06:00,CUST-0111,P006,Smart Devices,4,10682.8,0.05,Debit Card,Cancelled,42731.2,2136.56,40594.64
ORD-00077,2026-03-25 08:39:00,CUST-0207,P008,Wearables,4,6674.72,0.15,Bank Transfer,Completed,26698.88,4004.83,22694.05
