order_id,order_date,customer_id,product_id,product_category,quantity,unit_price,discount,payment_method,order_status,gross_amount,discount_amount,net_amount
ORD-10204,2026-01-01,CUST-075,PROD-055,Fashion,3,1278.76,0.15,Maya,Completed,3836.2799999999997,575.4419999999999,3260.8379999999997
ORD-10566,2026-01-01,CUST-228,PROD-078,Fashion,2,2255.5,0.05,GCash,Cancelled,4511.0,225.55,4285.45
ORD-10580,2026-01-01,CUST-049,PROD-001,Fashion,5,677.36,0.0,Debit Card,Completed,3386.8,0.0,3386.8
ORD-10796,2026-01-01,CUST-168,PROD-082,Electronics,4,1405.54,0.1,Debit Card,Cancelled,5622.16,562.216,5059.9439999999995
ORD-10829,2026-01-01,CUST-234,PROD-074,Sports,1,296.29,0.15,Bank Transfer,Completed,296.29,44.4435,251.84650000000002
ORD-10959,2026-01-01,CUST-055,PROD-075,Fashion,5,984.79,0.0,Maya,Pending,4923.95,0.0,4923.95
ORD-10962,2026-01-01,CUST-153,PROD-085,Beauty,1,3315.25,0.15,Credit Card,Cancelled,3315.25,497.28749999999997,2817.9625
ORD-10091,2026-01-02,CUST-046,PROD-039,Fashion,2,1444.13,0.0,Bank Transfer,Completed,2888.26,0.0,2888.26
ORD-10120,2026-01-02,CUST-135,PROD-059,Home,4,4367.57,0.05,GCash,Pending,17470.28,873.514,16596.766
ORD-10137,2026-01-02,CUST-203,PROD-051,Beauty,5,705.58,0.1,Credit Card,Cancelled,3527.9,352.79,3175.11
ORD-10272,2026-01-02,CUST-186,PROD-074,Beauty,3,3494.57,0.0,GCash,Pending,10483.710000000001,0.0,10483.710000000001
ORD-10351,2026-01-02,CUST-222,PROD-046,Sports,2,1056.13,0.15,Bank Transfer,Cancelled,2112.26,316.839,1795.4210000000003
ORD-10448,2026-01-02,CUST-134,PROD-059,Fashion,5,2660.55,0.15,GCash,Pending,13302.75,1995.4125,11307.3375
ORD-10644,2026-01-02,CUST-102,PROD-032,Electronics,5,3939.03,0.15,Bank Transfer,Completed,19695.15,2954.2725,16740.877500000002
ORD-10761,2026-01-02,CUST-023,PROD-075,Fashion,5,2080.57,0.05,Credit Card,Completed,10402.85,520.1425,9882.7075
ORD-10787,2026-01-02,CUST-081,PROD-071,Electronics,1,158.61,0.0,Bank Transfer,Completed,158.61,0.0,158.61
ORD-10367,2026-01-03,CUST-161,PROD-059,Electronics,2,2262.3,0.0,Debit Card,Completed,4524.6,0.0,4524.6
ORD-10621,2026-01-03,CUST-043,PROD-024,Home,2,3343.91,0.0,Maya,Completed,6687.82,0.0,6687.82
ORD-10766,2026-01-03,CUST-019,PROD-083,Home,4,3323.84,0.05,GCash,Completed,13295.36,664.768,12630.592
ORD-10812,2026-01-03,CUST-200,PROD-021,Sports,1,131.11,0.05,GCash,Cancelled,131.11,6.555500000000001,124.55450000000002
ORD-10000,2026-01-04,CUST-164,PROD-015,Beauty,2,1193.73,0.0,Bank Transfer,Completed,2387.46,0.0,2387.46
ORD-10124,2026-01-04,CUST-178,PROD-039,Electronics,3,4001.1,0.1,Credit Card,Completed,12003.3,1200.33,10802.97
ORD-10199,2026-01-04,CUST-096,PROD-029,Beauty,1,4211.96,0.1,Maya,Completed,4211.96,421.196,3790.764
ORD-10220,2026-01-04,CUST-246,PROD-015,Home,4,2636.95,0.2,GCash,Completed,10547.8,2109.56,8438.24
ORD-10353,2026-01-04,CUST-022,PROD-073,Home,3,260.21,0.05,Bank Transfer,Completed,780.6299999999999,39.031499999999994,741.5984999999998
ORD-10434,2026-01-04,CUST-158,PROD-062,Sports,2,3075.86,0.15,Maya,Completed,6151.72,922.758,5228.962
ORD-10696,2026-01-04,CUST-215,PROD-019,Beauty,4,4809.86,0.1,Debit Card,Completed,19239.44,1923.944,17315.496
ORD-10802,2026-01-04,CUST-010,PROD-025,Fashion,2,2497.24,0.0,Bank Transfer,Completed,4994.48,0.0,4994.48
ORD-10001,2026-01-05,CUST-152,PROD-055,Electronics,1,1171.33,0.2,Bank Transfer,Completed,1171.33,234.266,937.064
ORD-10023,2026-01-05,CUST-059,PROD-009,Beauty,1,2619.36,0.1,Debit Card,Completed,2619.36,261.93600000000004,2357.424
ORD-10050,2026-01-05,CUST-247,PROD-034,Electronics,5,2229.36,0.1,Debit Card,Cancelled,11146.800000000001,1114.68,10032.12
ORD-10133,2026-01-05,CUST-080,PROD-057,Fashion,3,3688.56,0.0,Credit Card,Completed,11065.68,0.0,11065.68
ORD-10140,2026-01-05,CUST-036,PROD-006,Beauty,4,668.99,0.05,Bank Transfer,Completed,2675.96,133.798,2542.1620000000003
ORD-10218,2026-01-05,CUST-099,PROD-073,Fashion,2,3427.4,0.1,Credit Card,Pending,6854.8,685.48,6169.32
ORD-10247,2026-01-05,CUST-011,PROD-006,Home,3,4039.43,0.2,Debit Card,Completed,12118.289999999999,2423.658,9694.632
ORD-10265,2026-01-05,CUST-226,PROD-023,Sports,4,1012.93,0.1,GCash,Completed,4051.72,405.172,3646.548
ORD-10310,2026-01-05,CUST-168,PROD-084,Electronics,4,1958.39,0.2,Debit Card,Completed,7833.56,1566.7120000000002,6266.848
ORD-10412,2026-01-05,CUST-115,PROD-020,Fashion,5,3123.19,0.1,Debit Card,Pending,15615.95,1561.5950000000003,14054.355
ORD-10444,2026-01-05,CUST-102,PROD-092,Fashion,5,4512.23,0.2,Bank Transfer,Completed,22561.149999999998,4512.23,18048.92
ORD-10469,2026-01-05,CUST-104,PROD-050,Fashion,5,4098.47,0.1,Maya,Cancelled,20492.350000000002,2049.235,18443.115
ORD-10524,2026-01-05,CUST-193,PROD-070,Beauty,4,602.15,0.2,Maya,Cancelled,2408.6,481.72,1926.8799999999999
ORD-10640,2026-01-05,CUST-064,PROD-095,Home,4,3703.08,0.0,Bank Transfer,Completed,14812.32,0.0,14812.32
ORD-10704,2026-01-05,CUST-135,PROD-083,Fashion,1,2312.89,0.0,Maya,Cancelled,2312.89,0.0,2312.89
ORD-10739,2026-01-05,CUST-053,PROD-093,Sports,4,3597.02,0.2,GCash,Completed,14388.08,2877.616,11510.464
ORD-10779,2026-01-05,CUST-047,PROD-068,Beauty,1,4839.99,0.2,Maya,Pending,4839.99,967.998,3871.9919999999997
ORD-10805,2026-01-05,CUST-060,PROD-010,Home,4,3303.77,0.15,Bank Transfer,Completed,13215.08,1982.262,11232.818
ORD-10899,2026-01-05,CUST-244,PROD-098,Sports,1,1979.79,0.1,Debit Card,Pending,1979.79,197.979,1781.811
ORD-10900,2026-01-05,CUST-118,PROD-005,Home,5,3331.11,0.1,Maya,Pending,16655.55,1665.555,14989.994999999999
ORD-10171,2026-01-06,CUST-221,PROD-095,Sports,1,2352.8,0.0,Credit Card,Cancelled,2352.8,0.0,2352.8
ORD-10206,2026-01-06,CUST-100,PROD-061,Sports,3,1342.89,0.0,Credit Card,Completed,4028.67,0.0,4028.67
ORD-10394,2026-01-06,CUST-206,PROD-067,Sports,1,4397.26,0.1,Credit Card,Completed,4397.26,439.72600000000006,3957.534
ORD-10537,2026-01-06,CUST-115,PROD-063,Beauty,2,1669.53,0.0,GCash,Completed,3339.06,0.0,3339.06
ORD-10563,2026-01-06,CUST-235,PROD-059,Electronics,3,605.8,0.2,Credit Card,Completed,1817.3999999999999,363.48,1453.9199999999998
ORD-10569,2026-01-06,CUST-006,PROD-032,Home,5,3002.5,0.05,Bank Transfer,Completed,15012.5,750.625,14261.875
ORD-10603,2026-01-06,CUST-196,PROD-070,Sports,3,3141.27,0.15,Bank Transfer,Completed,9423.81,1413.5714999999998,8010.2384999999995
ORD-10705,2026-01-06,CUST-138,PROD-051,Fashion,4,2629.02,0.0,Maya,Completed,10516.08,0.0,10516.08
ORD-10727,2026-01-06,CUST-107,PROD-053,Beauty,3,2846.04,0.05,GCash,Completed,8538.119999999999,426.90599999999995,8111.213999999999
ORD-10974,2026-01-06,CUST-216,PROD-051,Electronics,4,4396.1,0.1,Credit Card,Cancelled,17584.4,1758.4400000000003,15825.960000000001
ORD-10994,2026-01-06,CUST-088,PROD-046,Fashion,3,4491.96,0.2,Bank Transfer,Completed,13475.880000000001,2695.1760000000004,10780.704000000002
ORD-10996,2026-01-06,CUST-211,PROD-072,Fashion,1,918.53,0.0,Maya,Completed,918.53,0.0,918.53
ORD-10110,2026-01-07,CUST-161,PROD-057,Home,3,2791.18,0.1,Debit Card,Pending,8373.539999999999,837.3539999999999,7536.185999999999
ORD-10131,2026-01-07,CUST-145,PROD-088,Fashion,4,4180.91,0.1,Maya,Cancelled,16723.64,1672.364,15051.276
ORD-10185,2026-01-07,CUST-174,PROD-077,Beauty,1,1715.48,0.2,Debit Card,Completed,1715.48,343.096,1372.384
ORD-10202,2026-01-07,CUST-078,PROD-016,Home,4,3230.86,0.2,Debit Card,Completed,12923.44,2584.688,10338.752
ORD-10211,2026-01-07,CUST-092,PROD-100,Beauty,3,709.93,0.1,Debit Card,Pending,2129.79,212.979,1916.811
ORD-10316,2026-01-07,CUST-191,PROD-045,Electronics,4,1237.51,0.0,Credit Card,Cancelled,4950.04,0.0,4950.04
ORD-10458,2026-01-07,CUST-009,PROD-059,Beauty,2,1442.49,0.15,Bank Transfer,Pending,2884.98,432.747,2452.233
ORD-10461,2026-01-07,CUST-008,PROD-050,Home,5,3921.17,0.05,Maya,Completed,19605.85,980.2925,18625.5575
