order_id,order_date,customer_id,product_id,product_category,quantity,unit_price,discount,payment_method,order_status
ORD-10000,2026-01-04,CUST-164,PROD-015,Beauty,2,1193.73,0.0,Bank Transfer,Completed
ORD-10001,2026-01-05,CUST-152,PROD-055,Electronics,1,1171.33,0.2,Bank Transfer,Completed
ORD-10002,2026-03-25,CUST-144,PROD-026,Fashion,4,1180.16,0.2,Credit Card,Completed
ORD-10003,2026-03-31,CUST-195,PROD-021,Sports,3,1461.57,0.05,Credit Card,Completed
ORD-10004,2026-01-13,CUST-024,PROD-049,Beauty,3,3058.26,0.0,Debit Card,Cancelled
ORD-10005,2026-01-11,CUST-032,PROD-049,Fashion,3,4164.08,0.2,Credit Card,Cancelled
ORD-10006,2026-01-09,CUST-050,PROD-091,Electronics,2,3888.03,0.0,Maya,Completed
ORD-10007,2026-02-28,CUST-098,PROD-036,Beauty,2,1913.89,0.05,Credit Card,Completed
ORD-10008,2026-01-22,CUST-156,PROD-082,Fashion,2,900.67,0.15,Credit Card,Cancelled
ORD-10009,2026-02-11,CUST-057,PROD-088,Electronics,2,4126.83,0.1,Debit Card,Completed
ORD-10010,2026-03-14,CUST-017,PROD-028,Beauty,2,3311.65,0.15,Debit Card,Completed
ORD-10011,2026-02-01,CUST-068,PROD-018,Fashion,5,1387.43,0.2,Debit Card,Cancelled
ORD-10012,2026-01-29,CUST-103,PROD-047,Home,5,2518.23,0.0,GCash,Completed
ORD-10013,2026-03-29,CUST-161,PROD-021,Sports,5,411.29,0.15,Bank Transfer,Pending
ORD-10014,2026-03-12,CUST-136,PROD-033,Electronics,1,3440.38,0.2,Credit Card,Completed
ORD-10015,2026-02-25,CUST-029,PROD-038,Home,4,115.9,0.1,Bank Transfer,Completed
ORD-10016,2026-03-22,CUST-130,PROD-014,Beauty,5,3083.95,0.05,Credit Card,Completed
ORD-10017,2026-03-09,CUST-139,PROD-100,Electronics,5,1688.36,0.0,GCash,Completed
ORD-10018,2026-01-31,CUST-225,PROD-040,Electronics,2,4402.25,0.0,GCash,Pending
ORD-10019,2026-03-10,CUST-209,PROD-009,Home,2,3332.78,0.2,Maya,Completed
ORD-10020,2026-02-24,CUST-136,PROD-078,Home,5,3800.8,0.05,Credit Card,Pending
ORD-10021,2026-02-17,CUST-172,PROD-084,Sports,5,2312.28,0.05,Maya,Completed
ORD-10022,2026-03-17,CUST-087,PROD-003,Fashion,2,2983.36,0.0,GCash,Completed
ORD-10023,2026-01-05,CUST-059,PROD-009,Beauty,1,2619.36,0.1,Debit Card,Completed
ORD-10024,2026-03-15,CUST-139,PROD-017,Fashion,4,1290.69,0.15,Debit Card,Completed
ORD-10025,2026-03-26,CUST-025,PROD-013,Sports,3,2175.54,0.15,gcash,Completed
ORD-10026,2026-02-13,CUST-016,PROD-052,Electronics,2,1038.79,0.2,Debit Card,Completed
ORD-10027,2026-02-05,CUST-109,PROD-024,Sports,2,4384.98,0.0,Debit Card,Cancelled
ORD-10028,2026-03-25,CUST-026,PROD-007,Fashion,1,4848.08,0.05,Maya,Pending
ORD-10029,2026-01-28,CUST-125,PROD-062,Sports,1,906.72,0.0,Debit Card,Completed
ORD-10030,2026-02-06,CUST-238,PROD-059,Sports,5,3343.17,0.15,Maya,Completed
ORD-10031,2026-01-08,CUST-076,PROD-028,Fashion,5,398.69,0.1,GCash,Completed
