category,issue_type,tickets,avg_resolution_hours,avg_satisfaction
Software,Application,105,20.66780487804878,3.8658536585365852
Software,Browser,104,21.84564705882353,3.788235294117647
Software,Microsoft 365,99,23.71873417721519,3.848101265822785
Network,Wi-Fi,92,20.7345,4.0125
Software,Operating System,91,20.91246575342466,3.8493150684931505
Hardware,Monitor,85,23.972173913043477,3.971014492753623
Network,Network Access,84,22.10901408450704,3.6901408450704225
Access,Permission,82,22.48621212121212,3.9393939393939394
Hardware,Laptop,82,20.925846153846155,4.015384615384615
Hardware,Desktop,82,21.94546875,3.4375
Network,VPN,80,22.10081967213115,3.7540983606557377
Hardware,Printer,78,24.02409090909091,3.8181818181818183
Access,System Access,77,20.1590625,3.96875
Network,Internet,77,20.945254237288136,3.7288135593220337
Access,Password Reset,69,22.871166666666667,4.0
Access,Account Lockout,62,21.278666666666666,3.8444444444444446
Security,Phishing,41,21.214375,3.84375
Security,Security Policy,36,23.575483870967744,4.161290322580645
Security,Suspicious Login,36,27.388666666666666,3.7
Security,Malware Alert,34,19.035555555555558,4.037037037037037
Unknown,Account Lockout,1,15.97,3.0
Unknown,Application,1,,
Unknown,Browser,1,9.55,5.0
Unknown,VPN,1,,
